Title,Artist,Album Cover URL,Slug,Song Link
BEST INTEREST,"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273ab8995f18dc3dd9f34a6acd4,best-interest,https://open.spotify.com/track/3jHdKaLCkuNEkWcLVmQPCX
Give You the World,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,give-you-the-world,https://open.spotify.com/track/0J119Oas2ox6JTTHUGZxHN
Ladders,Mac Miller,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,ladders,https://open.spotify.com/track/39NDBdU5Xkm5pCFGa5kZtI
Feel No Ways,Drake,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,feel-no-ways,https://open.spotify.com/track/3cjF2OFRmip8spwZYQRKxP
Chanel,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273a0b780c23fc3c19bd412b234,chanel,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh
Love/Paranoia,Tame Impala,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,love-paranoia,https://open.spotify.com/track/5h9hkYIBWTZYFRmF6Iz1gt
Small Worlds,Mac Miller,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,small-worlds,https://open.spotify.com/track/4gT3mNJA8lnlkYFqGZ8IA2
Who Hurt You?,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b273c70176fa51326491ecc5f79e,who-hurt-you,https://open.spotify.com/track/23c9gmiiv7RCu7twft0Mym
Bleue,Wale the Sage,https://i.scdn.co/image/ab67616d0000b2736bb74af8331c9b6083461e2b,bleue,https://open.spotify.com/track/0LwwQLNOCvQF9xqD9rJ0Un
Shut up My Moms Calling,Hotel Ugly,https://i.scdn.co/image/ab67616d0000b273350ab7a839c04bfd5225a9f5,shut-up-my-moms-calling,https://open.spotify.com/track/3hxIUxnT27p5WcmjGUXNwx
Basement Jack,Steve Lacy,https://i.scdn.co/image/ab67616d0000b273962ff78ff496c98e5fed40d8,basement-jack,https://open.spotify.com/track/3NOIkyNWG0fEjkPkq9HVMW
Bad Habit,Steve Lacy,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,bad-habit,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
